# SCP-079 Custom Cameras Data File
# Format: localX,localY,localZ,pitch,yaw,roomIdentifier,roomName
# Coordinates are room-relative for map generation independence

-244.200,178.600,570.500,-0.000,-86.700,0,room1_storage
6.900,203.700,-584.400,-0.000,-92.400,2,cont1_005
-431.800,161.500,2122.600,-0.000,-88.100,3,cont1_173
-2373.700,698.600,1936.200,-0.000,-51.000,3,cont1_173
658.700,199.700,705.200,-0.000,146.000,5,cont1_205
-344.100,168.300,756.900,-0.000,-179.500,5,cont1_205
-609.600,321.700,-235.500,-0.000,179.700,6,cont1_914
187.200,501.600,-177.800,-0.000,-180.100,7,room2_lcz
-194.600,255.000,-3.700,-0.000,-90.000,8,room2_2_lcz
-245.600,327.000,0.100,-0.000,-90.000,9,room2_3_lcz
-201.100,314.900,-567.200,-0.000,-87.000,10,room2_4_lcz
193.4,158.100,2.300,-0.000,180.000,11,room2_5_lcz
178.400,175.200,5.400,-0.000,176.700,12,room2_6_lcz
133.000,150.800,6.100,-0.000,180.000,12,room2_6_lcz
244.700,545.800,-461.800,-0.000,-74.400,13,room2_7_lcz
-181.500,491.100,98.400,-0.000,-0.000,13,room2_7_lcz
-479.200,340.800,6.100,-0.000,2.100,14,room2_closets
-188.600,391.600,-25.700,-0.000,-1.500,15,room2_elevator
-262.000,150.000,-9.000,-0.000,-90.000,16,room2_gw
-402.500,164.400,8.900,-0.000,177.600,17,room2_gw_2
820.800,242.000,-881.600,-0.000,-71.100,18,room2_js
-131.500,195.200,-873.400,-0.000,-42.000,19,room2_sl
172.500,367.800,207.300,-0.000,-152.900,20,room2_storage
1.800,441.000,-853.900,-0.000,-92.700,21,room2_tesla_lcz
185.700,173.900,647.400,-0.000,-154.500,22,room2_test_lcz
-188.800,227.200,203.500,-0.000,6.300,23,cont2_012
-19.700,222.100,-311.100,-0.000,-95.700,24,cont2_427_714_860_1025
-1.000,216.600,-344.000,-0.000,-97.200,24,cont2_427_714_860_1025
169.700,349.600,231.900,-0.000,-86.200,25,cont2_500_1499
-285.200,284.500,-387.000,-0.000,-180.000,26,cont2_1123
-166.800,336.300,158.600,-0.000,135.000,27,room2c_lcz
-200.000,416.300,175.300,-0.000,-45.000,28,room2c_2_lcz
-778.400,146.600,-927.000,-0.000,-143.700,29,room2c_gw_lcz
921.300,196.300,786.900,-0.000,27.600,29,room2c_gw_lcz
-148.800,488.900,142.500,-0.000,-141.700,31,cont2c_066_1162_arc
41.400,506.700,235.100,-0.000,-49.600,32,room3_storage
-72.100,583.300,394.200,-0.000,-175.200,33,room3_lcz
7.300,401.700,322.300,-0.000,-178.700,34,room3_2_lcz
-12.800,470.100,336.000,-0.000,179.500,34,room3_2_lcz
-9.000,351.700,235.900,-0.000,-0.000,35,room3_3_lcz
897.700,135.800,469.600,-0.000,144.300,36,cont3_372
-828.600,159.000,-878.600,-0.000,-52.200,36,cont3_372
-355.900,337.900,292.600,-0.000,-49.200,37,room4_lcz
-7.400,557.600,-23.900,-0.000,-85.800,38,room4_2_lcz
7.500,268.300,16.900,-0.000,46.200,39,room4_ic

85.200,468.300,-925.300,-0.000,12.500,40,room2_checkpoint_lcz_hcz
-143.600,502.400,894.600,-0.000,-154.000,40,room2_checkpoint_lcz_hcz

365.800,154.00,-221.700,-0.000,-90.000,41,room1_dead_end_hcz
707.000,169.000,804.000,-0.000,50.600,42,cont1_035
-123.200,152.700,1.600,-0.000,-70.000,43,cont1_079
-1422.000,-9984.000,-279.300,-0.000,-0.000,43,cont1_079
-2346.900,-10467.600,1537.100,-0.000,-38.500,43,cont1_079
250.700,167.300,-581.800,-0.000,109.800,44,cont1_106
-1419.800,-7657.400,1762.100,-0.000,-41.600,44,cont1_106
-311.900,474.900,258.000,-0.000,-57.500,45,cont1_895
-287.000,256.000,1.400,-0.000,90.000,46,room2_hcz
197.00,211.300,2.100,-0.000,-180.000,47,room2_2_hcz
-183.700,196.800,138.800,-0.000,-90.000,47,room2_2_hcz
-181.00,144.000,6.000,-0.000,-180.000,48,room2_3_hcz
-666.400,190.900,-660.600,-0.000,-86.200,49,room2_4_hcz
-195.00,216.00,-0.000,-0.000,180.000,50,room2_5_hcz
-155.500,222.000,7.000,-0.000,-90.000,51,room2_6_hcz
-199.800,176.200,6.900,-0.000,180.000,52,room2_7_hcz
-182.000,173.300,694.600,-0.000,161.800,53,room2_mt
-191.300,174.000,-503.400,-0.000,-0.300,53,room2_mt
-146.600,126.400,-18.700,-0.000,90.800,54,room2_nuke
1072.900,4096.200,-261.800,-0.000,-111.600,54,room2_nuke
-145.000,3994.000,-390.900,-0.000,-88.500,54,room2_nuke
-1608.000,152.200,650.600,-0.000,-126.800,55,room2_servers_hcz
-1026.100,163.300,-930.900,-0.000,-58.800,55,room2_servers_hcz
-163.000,164.700,713.400,-0.000,-1.800,56,room2_shaft
8.300,486.800,-855.000,-0.000,1.100,57,room2_tesla_hcz
-445.300,305.400,4.700,-0.000,-90.100,58,room2_test_hcz
-160.900,170.200,-21.700,-0.000,0.600,59,cont2_008
152.500,152.400,-929.700,-0.000,32.600,60,cont2_049
-137.300,179.200,915.300,-0.000,-140.800,60,cont2_049
-760.200,-3321.800,716.900,-0.000,-178.000,60,cont2_049
-136.700,128.900,424.600,-0.000,-93.600,61,cont2_409
-3690.800,-4049.600,1725.000,-0.000,82.000,61,cont2_409
259.800,209.000,-226.300,-0.000,132.900,62,room2c_hcz
-178.700,230.400,183.400,-0.000,43.500,63,room2c_2_hcz
-101.100,191.300,112.500,-0.000,48.000,64,room2c_3_hcz
538.600,-395.800,1623.500,-0.000,87.500,65,cont2c_096
231.300,165.300,-909.400,-0.000,-45.000,66,room3_hcz
-34.100,238.000,249.700,-0.000,-90.000,67,room3_2_hcz
0.500,161.400,163.000,-0.000,90.000,68,room3_3_hcz
-494.400,240.000,151.200,-0.000,35.800,69,cont3_513
136.900,182.600,236.800,-0.000,72.400,69,cont3_513
-837.800,252.200,-859.800,-0.000,-56.500,70,cont3_966
944.600,160.500,203.200,-0.000,90.200,71,room4_hcz
-900.000,154.100,-219.900,-0.000,-95.700,71,room4_hcz
14.600,378.100,-8.100,-0.000,-93.300,72,room4_2_hcz
278.000,185.200,-254.600,-0.000,-135.000,73,room4_3_hcz

147.500,481.400,-901.700,-0.000,23.900,74,room2_checkpoint_hcz_ez
-78.400,485.300,899.400,-0.000,-170.000,74,room2_checkpoint_hcz_ez

603.100,499.200,42.800,-0.000,-90.900,75,gate_a_entrance
-662.000,542.400,15.500,-0.000,80.700,77,gate_b_entrance
-4.700,457.500.000,-795.600,-0.000,-0.000,79,room1_dead_end_ez
360.500,203.900,-905.800,-0.000,-128.700,80,room1_lifts
-401.100,145.200,-957.100,-0.000,146.400,81,room1_o5
935.700,167.900,11.200,-0.000,-0.000,82,room2_ez
-960.100,152.700,6.200,-0.000,-180.000,83,room2_2_ez
566.800,569.700,-318.000,-0.000,-90.000,84,room2_3_ez
208.100,195.200,-208.000,-0.000,-180.000,85,room2_4_ez
-250.800,214.800,-0.000,-0.000,180.000,86,room2_5_ez
-255.200,209.400,-6.300,-0.000,0.000,87,room2_6_ez
-660.000,58.900,-134.500,-0.000,0.000,88,room2_7_ez
3.200,371.300,513.800,-0.000,-0.400,89,room2_cafeteria
174.700,198.400,203.700,-0.000,-180.000,90,room2_ic
174.300,182.300,166.700,-0.000,-33.000,91,room2_medibay
932.400,44.800,35.600,-0.000,-88.200,92,room2_office
-430.000,182.200,255.800,-0.000,-39.100,93,room2_office_2
197.300,175.400,-283.300,-0.000,82.500,94,room2_office_3
-199.700,130.500,584.500,-0.000,94.200,95,room2_servers_ez
-179.500,191.100,420.000,-0.000,61.500,96,room2_scientists
-186.200,132.600,352.400,-0.000,-13.000,97,room2_scientists_2
-0.700,462.900,-810.100,-0.000,180.000,98,room2_tesla_ez
1021.800,479.300,861.000,-0.000,-180.000,99,cont2_860_1
1029.100,420.200,-822.400,-0.000,-180.200,99,cont2_860_1
-269.900,173.700,238.700,-0.000,45.000,101,room2c_2_ez
-256.700,168.900,-228.100,-0.000,-90.000,102,room2c_ec
-1960.500,1053.700,886.200,-0.000,-82.000,102,room2c_ec
-221.600,193.900,-192.500,-0.000,108.600,104,room3_office
-280.100,195.500,490.000,-0.000,-67.600,105,room3_ez
-18.800,23.500,870.000,-0.000,-177.900,106,room3_2_ez
-79.000,168.300,359.300,-0.000,88.500,107,room3_3_ez
5.500,168.000,236.800,-0.000,180.000,108,room3_4_ez
282.500,192.800,-303.500,-0.000,-47.200,109,room4_ez
2.500,1661.100,0.900,-0.000,-41.500,110,room4_2_ez

177.300,180.400,-119.200,-0.000,178.400,113,room2_closets_2

905.800,339.600,-671.400,-0.000,21.900,115,cont3_009
689.900,302.100,-903.600,-0.000,60.100,115,cont3_009
-889.000,267.300,-255.000,-0.000,-21.600,115,cont3_009
-4.300,497.300,-919.400,-0.000,90.200,116,room2_tesla_2_hcz
